"PID","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Alley","Lot_Shape","Land_Contour","Lot_Config","Land_Slope","Neighborhood","Condition_1","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Yr_Blt","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Fence","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price"
526301100,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",141,31770,"No_Alley_Access","Slightly_Irregular","Lvl","Corner","Gtl","North_Ames","Norm","OneFam","One_Story","Above_Average","Average",1960,1960,"Hip","BrkFace","Plywood","Stone",112,"Typical","Typical","CBlock","Typical","Good","Gd","BLQ",2,"Unf",0,441,1080,"Fair","Y","SBrkr",1656,0,1656,1,0,1,0,3,1,"Typical",7,"Typ",2,"Good","Attchd",1960,"Fin",2,528,"Typical","Typical","Partial_Pavement",210,62,0,0,0,"No_Fence",0,5,2010,"WD ","Normal",215000
526351010,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",81,14267,"No_Alley_Access","Slightly_Irregular","Lvl","Corner","Gtl","North_Ames","Norm","OneFam","One_Story","Above_Average","Above_Average",1958,1958,"Hip","Wd Sdng","Wd Sdng","BrkFace",108,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,406,1329,"Typical","Y","SBrkr",1329,0,1329,0,0,1,1,3,1,"Good",6,"Typ",0,"No_Fireplace","Attchd",1958,"Unf",1,312,"Typical","Typical","Paved",393,36,0,0,0,"No_Fence",12500,6,2010,"WD ","Normal",172000
526353030,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",93,11160,"No_Alley_Access","Regular","Lvl","Corner","Gtl","North_Ames","Norm","OneFam","One_Story","Good","Average",1968,1968,"Hip","BrkFace","BrkFace","None",0,"Good","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,1045,2110,"Excellent","Y","SBrkr",2110,0,2110,1,0,2,1,3,1,"Excellent",8,"Typ",2,"Typical","Attchd",1968,"Fin",2,522,"Typical","Typical","Paved",0,0,0,0,0,"No_Fence",0,4,2010,"WD ","Normal",244000
527105010,"Two_Story_1946_and_Newer","Residential_Low_Density",74,13830,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","Two_Story","Average","Average",1997,1998,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,137,928,"Good","Y","SBrkr",928,701,1629,0,0,2,1,3,1,"Typical",6,"Typ",1,"Typical","Attchd",1997,"Fin",2,482,"Typical","Typical","Paved",212,34,0,0,0,"Minimum_Privacy",0,3,2010,"WD ","Normal",189900
527145080,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,5005,"No_Alley_Access","Slightly_Irregular","HLS","Inside","Gtl","Stone_Brook","Norm","TwnhsE","One_Story","Very_Good","Average",1992,1992,"Gable","HdBoard","HdBoard","None",0,"Good","Typical","PConc","Good","Typical","No","ALQ",1,"Unf",0,1017,1280,"Excellent","Y","SBrkr",1280,0,1280,0,0,2,0,2,1,"Good",5,"Typ",0,"No_Fireplace","Attchd",1992,"RFn",2,506,"Typical","Typical","Paved",0,82,0,0,144,"No_Fence",0,1,2010,"WD ","Normal",191500
527146030,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",39,5389,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Stone_Brook","Norm","TwnhsE","One_Story","Very_Good","Average",1995,1996,"Gable","CemntBd","CmentBd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,415,1595,"Excellent","Y","SBrkr",1616,0,1616,1,0,2,0,2,1,"Good",5,"Typ",1,"Typical","Attchd",1995,"RFn",2,608,"Typical","Typical","Paved",237,152,0,0,0,"No_Fence",0,3,2010,"WD ","Normal",236500
527162130,"Two_Story_1946_and_Newer","Residential_Low_Density",60,7500,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","Two_Story","Good","Average",1999,1999,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Typical","Typical","No","Unf",7,"Unf",0,994,994,"Good","Y","SBrkr",1028,776,1804,0,0,2,1,3,1,"Good",7,"Typ",1,"Typical","Attchd",1999,"Fin",2,442,"Typical","Typical","Paved",140,60,0,0,0,"No_Fence",0,6,2010,"WD ","Normal",189000
527165230,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,7980,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","One_Story","Above_Average","Good",1992,2007,"Gable","HdBoard","HdBoard","None",0,"Typical","Good","PConc","Good","Typical","No","ALQ",1,"Unf",0,233,1168,"Excellent","Y","SBrkr",1187,0,1187,1,0,2,0,3,1,"Typical",6,"Typ",0,"No_Fireplace","Attchd",1992,"Fin",2,420,"Typical","Typical","Paved",483,21,0,0,0,"Good_Privacy",500,3,2010,"WD ","Normal",185000
527166040,"Two_Story_1946_and_Newer","Residential_Low_Density",63,8402,"No_Alley_Access","Slightly_Irregular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","Two_Story","Above_Average","Average",1998,1998,"Gable","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,789,789,"Good","Y","SBrkr",789,676,1465,0,0,2,1,3,1,"Typical",7,"Typ",1,"Good","Attchd",1998,"Fin",2,393,"Typical","Typical","Paved",0,75,0,0,0,"No_Fence",0,5,2010,"WD ","Normal",180400
527180040,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,10176,"No_Alley_Access","Regular","Lvl","Inside","Gtl","Gilbert","Norm","OneFam","One_Story","Good","Average",1990,1990,"Gable","HdBoard","HdBoard","None",0,"Typical","Typical","PConc","Good","Typical","Gd","GLQ",3,"Unf",0,663,1300,"Good","Y","SBrkr",1341,0,1341,1,0,1,1,2,1,"Good",5,"Typ",1,"Poor","Attchd",1990,"Unf",2,506,"Typical","Typical","Paved",192,0,0,0,0,"No_Fence",0,2,2010,"WD ","Normal",171500
